"filename", "language", "JSON with Comments", "TypeScript", "Shell Script", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\managers\StrategyManager.ts", "TypeScript", 0, 148, 0, 0, 0, 0, 0, 46, 27, 221
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\managers\UnitRegistryManager.ts", "TypeScript", 0, 152, 0, 0, 0, 0, 0, 50, 23, 225
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\managers\UnitSystemManager.ts", "TypeScript", 0, 202, 0, 0, 0, 0, 0, 81, 46, 329
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\managers\ValidationManager.ts", "TypeScript", 0, 259, 0, 0, 0, 0, 0, 56, 47, 362
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\managers\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 8, 4, 26
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\mementos\IUnitMemento.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 0, 35, 33, 173
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\mementos\UnitCalculationMemento.ts", "TypeScript", 0, 233, 0, 0, 0, 0, 0, 58, 28, 319
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\mementos\UnitMementoCaretaker.ts", "TypeScript", 0, 277, 0, 0, 0, 0, 0, 79, 62, 418
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\mementos\UnitMementoManager.ts", "TypeScript", 0, 353, 0, 0, 0, 0, 0, 89, 55, 497
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\mementos\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\monitoring\ProductionMonitoringSystem.ts", "TypeScript", 0, 427, 0, 0, 0, 0, 0, 82, 80, 589
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\observers\IUnitObserver.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 33, 19, 87
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\observers\LoggingObserver.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 33, 19, 134
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\observers\PerformanceObserver.ts", "TypeScript", 0, 171, 0, 0, 0, 0, 0, 61, 33, 265
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\IUnitStrategy.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 45, 9, 68
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\MixedUnitStrategy.ts", "TypeScript", 0, 252, 0, 0, 0, 0, 0, 84, 48, 384
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\PositionUnitStrategy.ts", "TypeScript", 0, 250, 0, 0, 0, 0, 0, 72, 42, 364
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\ScaleUnitStrategy.ts", "TypeScript", 0, 190, 0, 0, 0, 0, 0, 54, 32, 276
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\SizeUnitStrategy.ts", "TypeScript", 0, 216, 0, 0, 0, 0, 0, 59, 38, 313
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\cache\IStrategyCache.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 63, 19, 121
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\cache\StrategyCache.ts", "TypeScript", 0, 231, 0, 0, 0, 0, 0, 16, 48, 295
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\composition\IStrategyComposer.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 28, 9, 62
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\composition\SizeStrategyComposers.ts", "TypeScript", 0, 349, 0, 0, 0, 0, 0, 23, 61, 433
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value-calculation\IPositionValueCalculationStrategy.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 61, 20, 129
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value-calculation\IScaleValueCalculationStrategy.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 58, 19, 111
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value\ISizeValueCalculationStrategy.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 26, 18, 82
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value\PositionValueCalculationStrategies.ts", "TypeScript", 0, 251, 0, 0, 0, 0, 0, 31, 42, 324
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value\PositionValueCalculationStrategyRegistry.ts", "TypeScript", 0, 135, 0, 0, 0, 0, 0, 44, 25, 204
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value\ScaleValueCalculationStrategies.ts", "TypeScript", 0, 168, 0, 0, 0, 0, 0, 32, 42, 242
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value\ScaleValueCalculationStrategyRegistry.ts", "TypeScript", 0, 121, 0, 0, 0, 0, 0, 41, 24, 186
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value\SizeValueCalculationStrategies.ts", "TypeScript", 0, 248, 0, 0, 0, 0, 0, 32, 43, 323
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value\SizeValueCalculationStrategyRegistry.ts", "TypeScript", 0, 213, 0, 0, 0, 0, 0, 67, 38, 318
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\strategies\value\index.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 5, 5, 46
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\templates\IUnitCalculationTemplate.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 52, 27, 192
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\templates\PositionCalculationTemplate.ts", "TypeScript", 0, 168, 0, 0, 0, 0, 0, 93, 31, 292
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\templates\ScaleCalculationTemplate.ts", "TypeScript", 0, 163, 0, 0, 0, 0, 0, 93, 31, 287
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\templates\SizeCalculationTemplate.ts", "TypeScript", 0, 167, 0, 0, 0, 0, 0, 93, 31, 291
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\AdvancedFeatures.test.ts", "TypeScript", 0, 264, 0, 0, 0, 0, 0, 27, 75, 366
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\BatchCalculationCommand.test.ts", "TypeScript", 0, 235, 0, 0, 0, 0, 0, 8, 54, 297
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\CachingDecorator.test.ts", "TypeScript", 0, 219, 0, 0, 0, 0, 0, 18, 57, 294
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\CalculatePositionCommand.test.ts", "TypeScript", 0, 218, 0, 0, 0, 0, 0, 4, 54, 276
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\CalculateSizeCommand.test.ts", "TypeScript", 0, 226, 0, 0, 0, 0, 0, 4, 52, 282
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\CalculatorRefactoringComparison.test.ts", "TypeScript", 0, 355, 0, 0, 0, 0, 0, 57, 75, 487
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\CompleteCalculatorRefactoring.test.ts", "TypeScript", 0, 501, 0, 0, 0, 0, 0, 16, 79, 596
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\CompleteStrategyPatternImplementation.test.ts", "TypeScript", 0, 387, 0, 0, 0, 0, 0, 9, 65, 461
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\LegacyPositionUnitAdapter.test.ts", "TypeScript", 0, 270, 0, 0, 0, 0, 0, 1, 45, 316
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\LegacySizeUnitAdapter.test.ts", "TypeScript", 0, 258, 0, 0, 0, 0, 0, 1, 45, 304
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\LoggerPerformanceComparison.test.ts", "TypeScript", 0, 250, 0, 0, 0, 0, 0, 42, 58, 350
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\LoggingObserver.test.ts", "TypeScript", 0, 346, 0, 0, 0, 0, 0, 14, 71, 431
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\MixedUnitStrategy.test.ts", "TypeScript", 0, 140, 0, 0, 0, 0, 0, 1, 24, 165
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\PerformanceComparisonSystem.test.ts", "TypeScript", 0, 302, 0, 0, 0, 0, 0, 19, 34, 355
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\PerformanceObserver.test.ts", "TypeScript", 0, 379, 0, 0, 0, 0, 0, 20, 88, 487
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\PositionCalculationTemplate.test.ts", "TypeScript", 0, 223, 0, 0, 0, 0, 0, 9, 51, 283
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\PositionUnitCalculator.test.ts", "TypeScript", 0, 167, 0, 0, 0, 0, 0, 0, 29, 196
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\ProductionMonitoringSystem.test.ts", "TypeScript", 0, 417, 0, 0, 0, 0, 0, 18, 113, 548
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\RangeValidator.test.ts", "TypeScript", 0, 390, 0, 0, 0, 0, 0, 9, 80, 479
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\RefactoredSizeUnitCalculator.test.ts", "TypeScript", 0, 471, 0, 0, 0, 0, 0, 16, 74, 561
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\RefactoredUnitSystemManager.test.ts", "TypeScript", 0, 362, 0, 0, 0, 0, 0, 10, 76, 448
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\ScaleCalculationTemplate.test.ts", "TypeScript", 0, 217, 0, 0, 0, 0, 0, 9, 50, 276
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\ScaleUnitCalculator.test.ts", "TypeScript", 0, 271, 0, 0, 0, 0, 0, 0, 47, 318
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\test\SizeCalculationTemplate.test.ts", "TypeScript", 0, 224, 0, 0, 0, 0, 0, 9, 51, 284
